persona,regime,domain,run_index,full_response,t3_response,gamma_response,embedding_cosine_similarity,claude_score,gpt4_score,gemini_score,pfi,semantic_drift,notes
Ziggy Mack,T3,TECH,1,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=FULL Run=1
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=T3 Run=1
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=GAMMA Run=1
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
Ziggy Mack,T3,TECH,2,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=FULL Run=2
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=T3 Run=2
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=GAMMA Run=2
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
Ziggy Mack,T3,TECH,3,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=FULL Run=3
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=T3 Run=3
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=GAMMA Run=3
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
Ziggy Mack,T3,TECH,4,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=FULL Run=4
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=T3 Run=4
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=GAMMA Run=4
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
Ziggy Mack,T3,TECH,5,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=FULL Run=5
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=T3 Run=5
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=TECH Regime=GAMMA Run=5
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
Ziggy Mack,T3,PHIL,1,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=FULL Run=1
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=T3 Run=1
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=GAMMA Run=1
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
Ziggy Mack,T3,PHIL,2,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=FULL Run=2
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=T3 Run=2
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=GAMMA Run=2
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
Ziggy Mack,T3,PHIL,3,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=FULL Run=3
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=T3 Run=3
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=GAMMA Run=3
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
Ziggy Mack,T3,PHIL,4,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=FULL Run=4
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=T3 Run=4
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=GAMMA Run=4
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
Ziggy Mack,T3,PHIL,5,"[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=FULL Run=5
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=T3 Run=5
(This is placeholder text used for pipeline validation.)","[DUMMY RESPONSE] Persona=Ziggy Mack Domain=PHIL Regime=GAMMA Run=5
(This is placeholder text used for pipeline validation.)",0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002,dry_run
