persona,regime,domain,run_index,embedding_cosine_similarity,claude_score,gpt4_score,gemini_score,pfi,semantic_drift
Ziggy,T3,NARR,1,0.8218770618347416,9.0,7.0,8.0,0.8109385309173709,0.17812293816525837
Ziggy,T3,ANAL,1,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,ANAL,2,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,ANAL,3,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,PHIL,1,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,PHIL,2,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,PHIL,3,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,SELF,1,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,SELF,2,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,SELF,3,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,NARR,1,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,NARR,2,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,NARR,3,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,TECH,1,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,TECH,2,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Ziggy,T3,TECH,3,0.85,9.0,8.5,8.7,0.8616666666666666,0.15000000000000002
Nova,T3,TECH,1,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,TECH,2,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,TECH,3,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
