======================================================================
RUN 020B INDUCED vs INHERENT STATUS (Updated: 2025-12-27 08:35)
======================================================================

TOTAL SESSIONS: 87
TARGET: N>=3 per ship per arm (control + treatment) for IRON CLAD

======================================================================
COVERAGE BY SHIP
======================================================================
  claude-haiku-3.5: control=2/3 (need 1), treatment=2/3 (need 1)
  claude-haiku-4.5: control=1/3 (need 2), treatment=1/3 (need 2)
  deepseek-r1: control=1/3 (need 2), treatment=0/3 (need 3)
  deepseek-v3: control=1/3 (need 2), treatment=0/3 (need 3)
  gemini-2.0-flash: control=3/3 (ok), treatment=2/3 (need 1)
  gemini-2.5-flash: control=3/3 (ok), treatment=1/3 (need 2)
  gemini-2.5-flash-lite: control=3/3 (ok), treatment=1/3 (need 2)
  gpt-3.5-turbo: control=3/3 (ok), treatment=1/3 (need 2)
  gpt-4-turbo: control=1/3 (need 2), treatment=0/3 (need 3)
  gpt-4.1: control=1/3 (need 2), treatment=1/3 (need 2)
  gpt-4.1-mini: control=3/3 (ok), treatment=1/3 (need 2)
  gpt-4.1-nano: control=3/3 (ok), treatment=1/3 (need 2)
  gpt-4o: control=1/3 (need 2), treatment=1/3 (need 2)
  gpt-4o-mini: control=4/3 (ok), treatment=2/3 (need 1)
  gpt-5: control=1/3 (need 2), treatment=0/3 (need 3)
  gpt-5-nano: control=2/3 (need 1), treatment=1/3 (need 2)
  gpt-5.1: control=2/3 (need 1), treatment=0/3 (need 3)
  grok-2-vision: control=1/3 (need 2), treatment=0/3 (need 3)
  grok-3: control=1/3 (need 2), treatment=0/3 (need 3)
  grok-3-mini: control=2/3 (need 1), treatment=2/3 (need 1)
  grok-4: control=1/3 (need 2), treatment=0/3 (need 3)
  grok-4-fast-non-reasoning: control=1/3 (need 2), treatment=1/3 (need 2)
  grok-4-fast-reasoning: control=1/3 (need 2), treatment=0/3 (need 3)
  grok-4.1-fast-non-reasoning: control=1/3 (need 2), treatment=0/3 (need 3)
  grok-4.1-fast-reasoning: control=1/3 (need 2), treatment=0/3 (need 3)
  grok-code-fast-1: control=1/3 (need 2), treatment=0/3 (need 3)
  kimi-k2-instruct: control=1/3 (need 2), treatment=0/3 (need 3)
  kimi-k2-thinking: control=1/3 (need 2), treatment=0/3 (need 3)
  llama3.1-405b: control=1/3 (need 2), treatment=0/3 (need 3)
  llama3.1-70b: control=1/3 (need 2), treatment=0/3 (need 3)
  llama3.1-8b: control=1/3 (need 2), treatment=1/3 (need 2)
  llama3.3-70b: control=2/3 (need 1), treatment=1/3 (need 2)
  mistral-7b: control=2/3 (need 1), treatment=2/3 (need 1)
  mistral-small: control=1/3 (need 2), treatment=0/3 (need 3)
  mixtral-8x7b: control=1/3 (need 2), treatment=0/3 (need 3)
  nemotron-nano: control=1/3 (need 2), treatment=1/3 (need 2)
  o3: control=1/3 (need 2), treatment=0/3 (need 3)
  o3-mini: control=1/3 (need 2), treatment=1/3 (need 2)
  o4-mini: control=1/3 (need 2), treatment=0/3 (need 3)
  qwen2.5-72b: control=1/3 (need 2), treatment=0/3 (need 3)
  qwen3-80b: control=1/3 (need 2), treatment=0/3 (need 3)
  qwen3-coder: control=1/3 (need 2), treatment=0/3 (need 3)

======================================================================
